Formulaire;Millésime;Zone;Type;Donnée;Répétable;Table/Format;Balise XML;Intitulé;Commentaire;Code NREF
2042-5-BIC;20;DC;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Locations meublées - PAC;10 numérique;1005PD
2042-5-BIC;20;DD;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Chambres d'hôtes,  meublés tourisme classés - Déclarant 1;10 numérique;1005NG
2042-5-BIC;20;DE;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Chambres d'hôtes,  meublés tourisme classés - Déclarant 2;10 numérique;1005OG
2042-5-BIC;20;DF;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Chambres d'hôtes,  meublés tourisme classés - PAC;10 numérique;1005PG
2042-5-BIC;20;DG;MOA;C516.5004.01;NON;;Valeur;Locations déjà soumises aux contributions sociales - chambres d'hôtes et meublés de tourisme - Déclarant 1;10 numérique;1005NJ
2042-5-BIC;20;DH;MOA;C516.5004.01;NON;;Valeur;Locations déjà soumises aux contributions sociales - chambres d'hôtes et meublés de tourisme - Déclarant 2;10 numérique;1005OJ
2042-5-BIC;20;DI;MOA;C516.5004.01;NON;;Valeur;Locations déjà soumises aux contributions sociales - chambres d'hôtes et meublés de tourisme - PAC;10 numérique;1005PJ
2042-5-BIC;20;DJ;NAD;0000.3164.01;OUI;;AdresseVille;Adresse de la location meublée non professionnelle : commune;;115LE4
2042-5-BIC;20;DJ;NAD;0000.3251.01;OUI;;AdresseCodePostal;Adresse de la location meublée non professionnelle : code postal;5 alphanumérique fixe;115LE3
2042-5-BIC;20;DJ;NAD;C058.3124.01;OUI;;AdresseEtrangere1;Adresse de la location meublée à l'étranger non professionnelle : Ligne 1;;115LF1
2042-5-BIC;20;DJ;NAD;C058.3124.02;OUI;;AdresseEtrangere2;Adresse de la location meublée à l'étranger non professionnelle : Ligne 2;;115LF2
2042-5-BIC;20;DJ;NAD;C058.3124.03;OUI;;AdresseEtrangere3;Adresse de la location meublée à l'étranger non professionnelle : Ligne 3;;115LF3
2042-5-BIC;20;DJ;NAD;C058.3124.04;OUI;;AdresseEtrangere4;Adresse de la location meublée à l'étranger non professionnelle : Ligne 4;;115LF4
2042-5-BIC;20;DJ;NAD;C059.3042.01;OUI;;AdresseNumero, AdresseRepetabilite, AdresseVoie;Adresse de la location meublée non professionnelle (n°, [0...9/A...Z], libellé voie;35 alphanumérique dont position 1 à 4 : numérique  position 5 : [0..9/A..Z];115LE0
2042-5-BIC;20;DJ;NAD;C059.3042.02;OUI;;AdresseComplement;Adresse de la location meublée non professionnelle : compément;;115LE1
2042-5-BIC;20;DJ;NAD;C059.3042.03;OUI;;AdresseHameau;Adresse de la location meublée non professionnelle : lieu dit,  Hameau;;115LE2
2042-5-BIC;20;DJ;NAD;C819.3229.01;OUI;;AdresseCodeDivisionTerritoriale;Adresse de la location meublée non professionnelle à l'étranger : Pays - code INSEE <> 99100;;115LF0
2042-5-BIC;20;DK;MOA;C516.5004.01;NON;;Valeur;Locations déjà soumises aux contributions sociales - locations meublées - Déclarant 1;10 numérique;1005NW
2042-5-BIC;20;DL;MOA;C516.5004.01;NON;;Valeur;Locations déjà soumises aux contributions sociales - locations meublées - Déclarant 2;10 numérique;1005OW
2042-5-BIC;20;DM;MOA;C516.5004.01;NON;;Valeur;Locations déjà soumises aux contributions sociales - locations meublées - PAC;10 numérique;1005PW
2042-5-BIC;20;EA;MOA;C516.5004.01;NON;;Valeur;Revenus locations meublées non professionnelles sous OGA - Déclarant 1;10 numérique;1005NA
2042-5-BIC;20;EB;MOA;C516.5004.01;NON;;Valeur;Revenus locations meublées non professionnelles sous OGA - Déclarant 2;10 numérique;1005OA
2042-5-BIC;20;EC;MOA;C516.5004.01;NON;;Valeur;Revenus locations meublées non professionnelles sous CGA - PAC;10 numérique;1005PA
2042-5-BIC;20;ED;MOA;C516.5004.01;NON;;Valeur;Locations soumises aux contributions sociales par les organismes sociaux / OGA - Déclarant 1;10 numérique;1005NM
2042-5-BIC;20;EE;MOA;C516.5004.01;NON;;Valeur;Locations soumises aux contributions sociales par les organismes sociaux / OGA - Déclarant 2;10 numérique;1005OM
2042-5-BIC;20;EF;MOA;C516.5004.01;NON;;Valeur;Locations soumises aux contributions sociales par les organismes sociaux / OGA - PAC;10 numérique;1005PM
2042-5-BIC;20;EG;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles sous OGA - Déficit cas général - Déclarant 1;10 numérique;1005NY
2042-5-BIC;20;EH;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles sous OGA - Déficit cas général - Déclarant 2;10 numérique;1005OY
2042-5-BIC;20;EI;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles sous OGA - Déficit cas général - PAC;10 numérique;1005PY
2042-5-BIC;20;EJ;MOA;C516.5004.01;NON;;Valeur;Revenus des locations meublées non professionnelles - Régime du bénéfice réel avec OGA ou viseur - Revenus de source étrangère avec un crédit d'impôt égal à l'impôt français Déclarant 1;10 numérique;1005EY
2042-5-BIC;20;EK;MOA;C516.5004.01;NON;;Valeur;Revenus des locations meublées non professionnelles - Régime du bénéfice réel avec OGA ou viseur - Revenus de source étrangère avec un crédit d'impôt égal à l'impôt français Déclarant 2;10 numérique;1005FY
2042-5-BIC;20;EL;MOA;C516.5004.01;NON;;Valeur;Revenus des locations meublées non professionnelles - Régime du bénéfice réel avec OGA ou viseur - Revenus de source étrangèreavec un crédit d'impôt égal à l'impôt français PAC;10 numérique;1005GY
2042-5-BIC;20;FA;MOA;C516.5004.01;NON;;Valeur;Revenus locations meublées non professionnelles hors OGA - Déclarant 1;10 numérique;1005NK
2042-5-BIC;20;FB;MOA;C516.5004.01;NON;;Valeur;Revenus locations meublées non professionnelles hors OGA - Déclarant 2;10 numérique;1005OK
2042-5-BIC;20;FC;MOA;C516.5004.01;NON;;Valeur;Revenus locations meublées non professionnelles hors OGA - PAC;10 numérique;1005PK
2042-5-BIC;20;FD;MOA;C516.5004.01;NON;;Valeur;Locations soumises aux contributions sociales par les organismes sociaux / sans OGA - Déclarant 1;10 numérique;1005KM
2042-5-BIC;20;FE;MOA;C516.5004.01;NON;;Valeur;Locations soumises aux contributions sociales par les organismes sociaux / sans OGA - Déclarant 2;10 numérique;1005LM
2042-5-BIC;20;FF;MOA;C516.5004.01;NON;;Valeur;Locations soumises aux contributions sociales par les organismes sociaux / sans OGA - PAC;10 numérique;1005MM
2042-5-BIC;20;FG;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles hors OGA - Déficit cas général - Déclarant 1;10 numérique;1005NZ
2042-5-BIC;20;FH;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles hors OGA - Déficit cas général - Déclarant 2;10 numérique;1005OZ
2042-5-BIC;20;FI;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles hors OGA - Déficit cas général - PAC;10 numérique;1005PZ
2042-5-BIC;20;FJ;MOA;C516.5004.01;NON;;Valeur;Revenus des locations meublées non professionnelles - Régime du bénéfice réel avec OGA ou viseur - Revenus de source étrangère avec un crédit d'impôt égal à l'impôt français Déclarant 1;10 numérique;1005EZ
2042-5-BIC;20;FK;MOA;C516.5004.01;NON;;Valeur;Revenus des locations meublées non professionnelles - Régime du bénéfice réel avec OGA ou viseur - Revenus de source étrangère avec un crédit d'impôt égal à l'impôt français Déclarant 2;10 numérique;1005FZ
2042-5-BIC;20;FL;MOA;C516.5004.01;NON;;Valeur;Revenus des locations meublées non professionnelles - Régime du bénéfice réel avec OGA ou viseur - Revenus de source étrangère avec un crédit d'impôt égal à l'impôt français PAC;10 numérique;1005GZ
2042-5-BIC;20;GA;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles - Déficit de N-10;10 numérique;1005GA
2042-5-BIC;20;GB;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles - Déficit de N-9;10 numérique;1005GB
2042-5-BIC;20;GC;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles - Déficit de N-8;10 numérique;1005GC
2042-5-BIC;20;GD;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles - Déficit de N-7;10 numérique;1005GD
2042-5-BIC;20;GE;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles - Déficit de N-6;10 numérique;1005GE
2042-5-BIC;20;GF;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles - Déficit de N-5;10 numérique;1005GF
2042-5-BIC;20;GG;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles - Déficit de N-4;10 numérique;1005GG
2042-5-BIC;20;GH;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles - Déficit de N-3;10 numérique;1005GH
2042-5-BIC;20;GI;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles - Déficit de N-2;10 numérique;1005GI
2042-5-BIC;20;GJ;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles - Déficit de N-1;10 numérique;1005GJ
2042-5-BIC;20;HA;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Revenus net exonérés - régimes zonés article 1417, II, b du CGI - Déclarant 1;10 numérique;1005NN
2042-5-BIC;20;HB;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Revenus net exonérés - régimes zonés article 1417, II, b du CGI - Déclarant 2;10 numérique;1005ON
2042-5-BIC;20;HC;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Revenus net exonérés - régimes zonés article 1417, II, b du CGI - PAC;10 numérique;1005PN
2042-5-BIC;20;HD;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Activités ventes - Déclarant 1;10 numérique;1005NO
2042-5-BIC;20;HE;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Activités ventes - Déclarant 2;10 numérique;1005OO
2042-5-BIC;20;HF;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Activités ventes - PAC;10 numérique;1005PO
2042-5-BIC;20;HG;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Activités prestations - Déclarant 1;10 numérique;1005NP
2042-5-BIC;20;HH;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Activites prestations - Déclarant 2;10 numérique;1005OP
2042-5-BIC;20;HI;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Activités prestations - PAC;10 numérique;1005PP
2042-5-BIC;20;HJ;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Plus-values à court terme - Déclarant 1;10 numérique;1005NX
2042-5-BIC;20;HK;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Plus-values à court terme - Déclarant 2;10 numérique;1005OX
2042-5-BIC;20;HL;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Plus-values à court terme - PAC;10 numérique;1005PX
2042-5-BIC;20;HM;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Plus-values nettes à long terme - Déclarant 1;10 numérique;1005NQ
2042-5-BIC;20;HN;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Plus-values nettes à long terme - Déclarant 2;10 numérique;1005OQ
2042-5-BIC;20;HO;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Plus-values nettes à long terme - PAC;10 numérique;1005PQ
2042-5-BIC;20;HP;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Moins-values à long terme - Déclarant 1;10 numérique;1005NR
2042-5-BIC;20;HQ;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Moins-values à long terme - Déclarant 2;10 numérique;1005OR
2042-5-BIC;20;HR;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Moins-values à long terme - PAC;10 numérique;1005PR
2042-5-BIC;20;HS;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel régime micro - Moins-values à court terme - Déclarant 1;10 numérique;1005IU
2042-5-BIC;20;HT;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Moins-values nettes à court terme Déclarant 2;10 numérique;1005RZ
2042-5-BIC;20;HU;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Moins-values nettes à court terme PAC;10 numérique;1005SZ
2042-5-BIC;20;JA;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel sous OGA - Revenus exonérés - régimes zonés article 1417, II, b du CGI - Déclarant 1;10 numérique;1005NB
2042-5-BIC;20;JB;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel sous OGA - Revenus exonérés - régimes zonés article 1417, II, b du CGI - Déclarant 2;10 numérique;1005OB
2042-5-BIC;20;JC;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel sous OGA - Revenus exonérés - régimes zonés article 1417, II, b du CGI - PAC;10 numérique;1005PB
2042-5-BIC;20;JD;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel sous OGA - Régime normal - Bénéfice - Déclarant 1;10 numérique;1005NC
2042-5-BIC;20;JE;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel sous OGA - Régime normal - Bénéfice - Déclarant 2;10 numérique;1005OC
2042-5-BIC;20;JF;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel sous OGA - Régime normal - Bénéfices - PAC;10 numérique;1005PC
2042-5-BIC;20;JG;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel sous OGA - Régime normal - Déficit - Déclarant 1;10 numérique;1005NF
2042-5-BIC;20;JH;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel sous OGA - Régime normal - Déficit - Déclarant 2;10 numérique;1005OF
2042-5-BIC;20;JI;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel sous OGA - Régime normal - Déficit - PAC;10 numérique;1005PF
2042-5-BIC;20;JJ;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel avec OGA ou viseur - Revenus imposables dont plus-values à court terme, subventions d'équipement, indemnités d'assurance pour perte d'élément d'actif - Déclarant 1;10 numérique;1005UT
2042-5-BIC;20;JK;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Revenus imposables dont plus-values à court terme, subventions d'équipement, indemnités d'assurance pour perte d'élément d'actif - Déclarant 2;10 numérique;1005VT
2042-5-BIC;20;JL;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Revenus imposables dont moins-values à court terme - Déclarant 1;10 numérique;1005UY
2042-5-BIC;20;JM;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Revenus imposables dont moins-values à court terme - Déclarant 2;10 numérique;1005VY
2042-5-BIC;20;JN;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel avec OGA ou viseur - Revenus de source étrangèreavec un crédit d'impôt égal à l'impôt français Déclarant 1;10 numérique;1005UR
2042-5-BIC;20;JO;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel avec OGA ou viseur - Revenus de source étrangère avec un crédit d'impôt égal à l'impôt français Déclarant 2;10 numérique;1005VR
2042-5-BIC;20;JP;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel avec OGA ou viseur - Revenus de source étrangèreavec un crédit d'impôt égal à l'impôt français PAC;10 numérique;1005WR
2042-5-BIC;20;JQ;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Revenus imposables dont plus-values à court terme, subventions d'équipement, indemnités d'assurance pour perte d'élément d'actif - PAC;10 numérique;1005VQ
2042-5-BIC;20;JR;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Revenus imposables dont moins-values à court terme - PAC;10 numérique;1005VV
2042-5-BIC;20;KA;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel hors OGA - Revenus exonérés - Déclarant 1;10 numérique;1005NH
2042-5-BIC;20;KB;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel hors OGA - Revenus exonérés - Déclarant 2;10 numérique;1005OH
2042-5-BIC;20;KC;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel hors OGA - Revenus exonérés - PAC;10 numérique;1005PH
2042-5-BIC;20;KD;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel hors OGA - Régime normal - Déclarant 1;10 numérique;1005NI
2042-5-BIC;20;KE;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel hors OGA -  Régime normal - Déclarant 2;10 numérique;1005OI
2042-5-BIC;20;KF;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel hors OGA - Régime normal - PAC;10 numérique;1005PI
2042-5-BIC;20;KG;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel hors OGA - Régime normal - Déficits - Déclarant 1;10 numérique;1005NL
2042-5-BIC;20;KH;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel hors OGA - Régime normal - Déficits - Déclarant 2;10 numérique;1005OL
2042-5-BIC;20;KI;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel hors OGA - Régime normal - Déficit - PAC;10 numérique;1005PL
2042-5-BIC;20;KJ;MOA;C516.5004.01;NON;;Valeur;BIC non professionnels - Plus-values nettes à long terme - Déclarant 1;10 numérique;1005NE
2042-5-BIC;20;KK;MOA;C516.5004.01;NON;;Valeur;BIC non professionnels - Plus-values nettes à long terme - Déclarant 2;10 numérique;1005OE
2042-5-BIC;20;KL;MOA;C516.5004.01;NON;;Valeur;BIC non professionnels - Plus-values nettes à long terme à - PAC;10 numérique;1005PE
2042-5-BIC;20;KM;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel sans OGA ou viseur - Revenus imposables dont plus-values à court terme, subventions d'équipement, indemnités d'assurance pour perte d'élément d'actif Déclarant 1;10 numérique;1005UU
2042-5-BIC;20;KN;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel sans OGA ou viseur - Revenus imposables dont plus-values à court terme, subventions d'équipement, indemnités d'assurance pour perte d'élément d'actif Déclarant 2;10 numérique;1005VU
2042-5-BIC;20;KO;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel sans OGA ou viseur - Revenus imposables dont moins-values à court terme Déclarant 1;10 numérique;1005UZ
2042-5-BIC;20;KP;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel sans OGA ou viseur - Revenus imposables dont moins-values à court terme Déclarant 2;10 numérique;1005VZ
2042-5-BIC;20;KQ;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel sans OGA ou viseur - Revenus de source étrangère avec un crédit d'impôt égal à l'impôt français Déclarant 1;10 numérique;1005US
2042-5-BIC;20;KR;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel sans OGA ou viseur - Revenus de source étrangèreavec un crédit d'impôt égal à l'impôt français Déclarant 2;10 numérique;1005VS
2042-5-BIC;20;KS;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel sans OGA ou viseur - Revenus de source étrangère avec un crédit d'impôt égal à l'impôt français PAC;10 numérique;1005WS
2042-5-BIC;20;KT;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel sans OGA ou viseur - Revenus imposables dont plus-values à court terme, subventions d'équipement, indemnités d'assurance pour perte d'élément d'actif PAC;10 numérique;1005VW
2042-5-BIC;20;KU;MOA;C516.5004.01;NON;;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel sans OGA ou viseur - Revenus imposables dont moins-values à court terme PAC;10 numérique;1005VX
2042-5-BIC;20;LA;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel - Déficit de N-6;10 numérique;1005RN
2042-5-BIC;20;LB;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel - Déficit de N-5;10 numérique;1005RO
2042-5-BIC;20;LC;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel - Déficit de N-4;10 numérique;1005RP
2042-5-BIC;20;LD;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel - Déficit de N-3;10 numérique;1005RQ
2042-5-BIC;20;LE;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel - Déficit de N-2;10 numérique;1005RR
2042-5-BIC;20;LF;MOA;C516.5004.01;NON;;Valeur;BIC non professionnel - Déficit de N-1;10 numérique;1005RW
2042-5-BIC;20;MA;CCI;C889.7111.01;NON;TBX;Valeur;Cession ou cessation d'activite BIC pro - dec 1;;1005BF
2042-5-BIC;20;MB;CCI;C889.7111.01;NON;TBX;Valeur;Cession ou cessation d'activite BIC pro - dec 2;;1005BI
2042-5-BIC;20;MC;CCI;C889.7111.01;NON;TBX;Valeur;Cession ou cessation d'activite LMNP - dec 1;;1005CF
2042-5-BIC;20;MD;CCI;C889.7111.01;NON;TBX;Valeur;Cession ou cessation d'activite LMNP - dec 2;;1005CI
2042-5-BIC;20;ME;CCI;C889.7111.01;NON;TBX;Valeur;Cession ou cessation d'activite BIC non pro - dec 1;;1005AN
2042-5-BIC;20;MF;CCI;C889.7111.01;NON;TBX;Valeur;Cession ou cessation d'activite BIC non pro - dec 2;;1005BN
2042-5-BIC;20;MG;DTM;C507.2380.01;NON;802;Valeur;Régime du bénéfice réel - Durée de l'exercice (nombre de mois si inférieur à 12)) Déclarant 1;2 numérique;1005DB
2042-5-BIC;20;MH;DTM;C507.2380.01;NON;802;Valeur;Régime du bénéfice réel - Durée de l'exercice (nombre de mois si inférieur à 12)) Déclarant 2;2 numérique;1005EB
2042-5-BIC;20;MI;DTM;C507.2380.01;NON;802;Valeur;Locations meublées non pro - durée de l'activité en mois si inférieur à 12 - Déclarant 1;2 numérique;1005CD
2042-5-BIC;20;MJ;DTM;C507.2380.01;NON;802;Valeur;Locations meublées non pro - durée de l'activité en mois - si inférieur à 12 - Déclarant 2;2 numérique;1005DD
2042-5-BIC;20;MK;DTM;C507.2380.01;NON;802;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel - Durée de l'exercice (nombre de mois si inférieur à 12) Déclarant 1;2 numérique;1005UP
2042-5-BIC;20;ML;DTM;C507.2380.01;NON;802;Valeur;Autres revenus industriels et commerciaux non professionnels - Régime du bénéfice réel - Durée de l'exercice (nombre de mois si inférieur à 12) Déclarant 2;2 numérique;1005VP
2042-5-BIC;20;MM;DTM;C507.2380.01;NON;802;Valeur;BIC Pro - Durée de l'exercice (nombre de mois si inférieur à 12) PAC;2 numérique;1005FB
2042-5-BIC;20;MN;CCI;C889.7111.01;NON;TBX;Valeur;Cession ou cessation d'activite BIC pro - PAC;;1005BH
2042-5-BIC;20;MO;DTM;C507.2380.01;NON;802;Valeur;Locations meublées non pro - durée de l'activité en mois - si inférieur à 12 - PAC;2 numérique;1005FD
2042-5-BIC;20;MP;CCI;C889.7111.01;NON;TBX;Valeur;Cession ou cessation d'activite LMNP - PAC;;1005CM
2042-5-BIC;20;MQ;DTM;C507.2380.01;NON;802;Valeur;Autres revenus industriels et commerciaux non professionnels - Durée de l'exercice (nombre de mois si inférieur à 12) PAC;2 numérique;1005TP
2042-5-BIC;20;MR;CCI;C889.7111.01;NON;TBX;Valeur;Cession ou cessation d'activite BIC non pro - PAC;;1005CN
2042-5-BIC;20;NA;MOA;C516.5004.01;NON;;Valeur;Régime du bénéfice réel avec OGA ou viseur - Subventions d'équipement, indemnités d'assurance pour petre d'élément d'actif Déclarant 1;10 numérique;1005DK
2042-5-BIC;20;NB;MOA;C516.5004.01;NON;;Valeur;Régime du bénéfice réel avec OGA ou viseur - Subventions d'équipement, indemnités d'assurance pour petre d'élément d'actif Déclarant 2;10 numérique;1005EK
2042-5-BIC;20;NC;MOA;C516.5004.01;NON;;Valeur;Revenus imposables dont moins-values à court terme - Avec OGA - Declarant 1;10 numérique;1005DM
2042-5-BIC;20;ND;MOA;C516.5004.01;NON;;Valeur;Revenus imposables dont moins-values à court terme - Avec OGA - declarant 2;10 numérique;1005EM
2042-5-BIC;20;NE;MOA;C516.5004.01;NON;;Valeur;Régime du bénéfice réel avec OGA ou viseur - Revenus imposables de source étrangère ouvrant droit à un crédit d'impôt égal à l'impôt français Déclarant 1;10 numérique;1005DF
2042-5-BIC;20;NF;MOA;C516.5004.01;NON;;Valeur;Régime du bénéfice réel avec OGA ou viseur - Revenus imposables de source étrangère ouvrant droit à un crédit d'impôt égal à l'impôt français Déclarant 2;10 numérique;1005EF
2042-5-BIC;20;NG;MOA;C516.5004.01;NON;;Valeur;Régime du bénéfice réel avec OGA ou viseur - Revenus imposables de source étrangère ouvrant droit à un crédit d'impôt égal à l'impôt français PAC;10 numérique;1005FF
2042-5-BIC;20;NH;MOA;C516.5004.01;NON;;Valeur;Régime du bénéfice réel avec OGA ou viseur - Subventions d'équipement, indemnités d'assurance pour petre d'élément d'actif PAC;10 numérique;1005FK
2042-5-BIC;20;NI;MOA;C516.5004.01;NON;;Valeur;Revenus imposables dont moins-values à court terme - Avec OGA - PAC;10 numérique;1005FM
2042-5-BIC;20;RA;MOA;C516.5004.01;NON;;Valeur;Revenus nets de la cession ou concession de brevets et assimilés taxables à 10 %;10 numérique;1005TF
2042-5-BIC;20;RB;MOA;C516.5004.01;NON;;Valeur;Revenus nets de la cession ou concession de brevets et assimilés taxables à 10 %;10 numérique;1005UF
2042-5-BIC;20;RC;MOA;C516.5004.01;NON;;Valeur;Revenus nets de la cession ou concession de brevets et assimilés taxables à 10 %;10 numérique;1005VF
2042-5-BIC;20;RD;MOA;C516.5004.01;NON;;Valeur;Revenus nets de la cession ou concession de brevets et assimilés taxables à 10 %;10 numérique;1005UI
2042-5-BIC;20;RE;MOA;C516.5004.01;NON;;Valeur;Revenus nets de la cession ou concession de brevets et assimilés taxables à 10 %;10 numérique;1005VI
2042-5-BIC;20;RF;MOA;C516.5004.01;NON;;Valeur;Revenus nets de la cession ou concession de brevets et assimilés taxables à 10 %;10 numérique;1005WI
2042-5-BIC;20;SA;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles sous OGA - Déficit relevant des organismes de sécurité sociale - Déclarant 1;10 numérique;1005WE
2042-5-BIC;20;SB;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles sous OGA - Déficit relevant des organismes de sécurité sociale - Déclarant 2;10 numérique;1005XE
2042-5-BIC;20;SC;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles sous OGA - Déficit relevant des organismes de sécurité sociale - PAC;10 numérique;1005YE
2042-5-BIC;20;SD;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles hors OGA - Déficit relevant des organismes de sécurité sociale - Déclarant 1;10 numérique;1005WF
2042-5-BIC;20;SE;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles hors OGA - Déficit relevant des organismes de sécurité sociale - Déclarant 2;10 numérique;1005XF
2042-5-BIC;20;SF;MOA;C516.5004.01;NON;;Valeur;Locations meublées non professionnelles hors OGA - Déficit relevant des organismes de sécurité sociale - PAC;10 numérique;1005YF
2042-5-BNC;20;AA;MOA;C516.5004.01;NON;;Valeur;BNC professionnel régime micro - Revenus nets exonérés - régimes zonés article 1417, IV, b du CGI - Déclarant 1;10 numérique;1005HP
2042-5-BNC;20;AB;MOA;C516.5004.01;NON;;Valeur;BNC professionnel régime micro - Revenus nets exonérés - régimes zonés article 1417, IV, b du CGI - Déclarant 2;10 numérique;1005IP
